Item Name,Closing,Quantities Consumed from Opening Stock,ADDITIONAL QTY CONSUMED IN OTHER WIP
"2,3 DCP IPA ML",42%,42%,100%
"2,3 DCP RECOVERED IPA",45%,45%,100%
"2,3 DCP IIND CROP",22.50%,22.50%,22.50%
"2,3 DCP SFG",87.72%,87.72%,87.72%
"2,3 DCP CRUDE",94%,94%,0%
"2,3,5 TRICHLORO PYRIDINE",45%,45%,45%
DIPEA INTERCUT-1,80%,80%,80%
DIPEA INTERCUT-2 (IIND CUT),90%,90%,90%
DIPEA RESIDUE,90%,90%,90%
DIPEA CRUDE,67.50%,67.50%,67.50%
DIPA WIP (IST CUT),80%,80%,0%
"2,4,6 TMBCL (STAGE-I) ORGANIC LAYER",98%,98%,100%
"2,4,6 TMBCL STAGE-I",98%,98%,100%
"2,4,6 TMBCL (STAGE-I) INTERCUT-1",19.20%,19.20%,100%
"2,4,6 TMBCN STAGE-II",98%,98%,100%
"2,4,6 TMBCN (STAGE-II) WET CAKE",98%,98%,100%
"2,4,6 TMPACL (STAGE-III) DRY POWDER",98%,98%,100%
"2,4,6 TMPACL (STAGE-IV) CRUDE",98%,98%,100%
"2,4,6 TMPACL INTERCUT-1",40.50%,40.50%,100%
"2,4,6 TMPACL INTERCUT-2",9%,9%,100%
"2,4,6 TMPAC SFG",100%,100%,100%
"2,4,6 RECOVERED MESITYLENE",95%,95%,95%
"2,4,6 (STAGE-III) RECOVERED TOLUENE",95%,95%,100%
"2,5 DMBCL (STAGE-I) CRUDE",100%,100%,100%
"2,5 DMBCL STAGE-I",100%,100%,100%
"2,5 DMBCL (STAGE-I) INTERCUT",60%,60%,100%
"2,5 DMBCN (STAGE-II) CRUDE",100%,100%,100%
"2,5 DMBCN STAGE-II",100%,100%,100%
"2,5 DMBCN (STAGE II) INTERCUT",14%,14%,100%
"2,5 DMPAA (STAGE-III) DRY POWDER",100%,100%,100%
"2,5 DMPAC (STAGE-IV) CRUDE",82%,82%,100%
"2,5 DMBCL RECOVERED P- XYLENE",100%,100%,0%
"2,5 DMPAC SFG",100%,100%,100%
"2,5 DMPACL (STAGE-IV) INTERCUT-1",72%,72%,100%
"2,5 DMPACL (STAGE-IV) INTERCUT-2",45%,45%,100%
DCAT ORGANIC,100%,100%,100%
DCAT RECOVERED MDC,100%,100%,100%
DCAT INTERCUT-1,35%,35%,35%
AMIDO IPA ML,80%,45%,100%
AMIDO RECOVERED ISO PROPYL ACETATE,100%,100%,100%
AMIDO RECOVERED IPAC INTERCUT-1,100%,100%,100%
AMIDO CHLORIDE OFF SPEC,100%,100%,100%
2-MBA WET CAKE,90%,90%,90%
2-MBA OFF SPEC,95%,95%,95%
METCAMIFEN SAM-I WET CAKE,98%,98%,100%
METCAMIFEN SAM-II WET CAKE,98%,98%,100%
METCAMIFEN STAGE-III MAINCUT,98%,98%,100%
METCAMIFEN STAGE-III OA-CI CRUDE,0%,0%,100%
METCAMIFEN STAGE IV SAM-IV SFG OFF SPEC,19%,19%,100%
METCAMIFEN STAGE IV SAM-IV SFG SPEC,98%,98%,100%
METCAMIFEN SAM-II DRY POWDER,98%,98%,100%
METCAMIFEN STAGE-I SAM UREA DRY POWDER,98%,98%,100%
METCAMIFEN STAGE-II OA-CI CRUDE,98%,98%,98%
METCAMIFEN STAGE-II- OA-Cl MAINCUT,98%,98%,100%
METCAMIFEN STAGE-II OA-CI INTERCUT-1,98%,98%,100%
METCAMIFEN STAGE-III INTERCUT,98%,98%,100%
C-5 HYDROXY ESTER CRUDE,90%,90%,100%
C-5 INTERCUT-1,59%,59%,100%
C-5 INTERCUT-2,18%,18%,100%
