Production_lid,Output_Voucher_No,Output_Voucher_Date,FG_name,Output_Item_Code,Output_Item_Name,Output_Batch_No,Output_Purity,Output_Recovery,Output_UOM,Output_Quantity,JobWork_Rate,JobWork_Value,Output_Rate,Output_Value
178707,SSM2223JWGRN00278,21/01/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#01+03+07/22,,,KGS,2400.0,100.0,240000.0,940.457,2257097.407
210492,SSM2223JWGRN00355,22/02/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#13+14/22,,,KGS,1600.0,100.0,160000.0,604.588,967340.207
210985,SSM2223JWGRN00361,25/02/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#15/23,,,KGS,100.0,100.0,10000.0,4169.083,416908.272
206171,SSM2223JWGRN00343,05/03/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#21+22/22,0,0,KGS,1000.0,100.0,100000.0,1415.0,1415000.0
235937,SSM2223JWGRN00417,15/03/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#23+24+25/22,0,0,KGS,2574.0,100.0,257400.0,683.424,1759134.286
210985,SSM2223JWGRN00361,25/02/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#15/23,,,KGS,700.0,100.0,70000.0,112.849,78994.477
178687,SSM2223JWGRN00277,20/01/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#02/22,,,KGS,800.0,100.0,80000.0,942.106,753685.028
211102,SSM2223JWGRN00362,25/02/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#16+17/22,,,KGS,1500.0,100.0,150000.0,116.375,174562.679
185825,SSM2223JWGRN00292,31/01/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#08+09+010+011/22,,,KGS,3200.0,100.0,320000.0,1014.677,3246967.31
185827,SSM2223JWGRN00293,31/01/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#012/22,,,KGS,800.0,100.0,80000.0,1029.882,823905.675
206168,SSM2223JWGRN00341,03/03/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#18/22,0,0,KGS,800.0,100.0,80000.0,1415.0,1132000.0
206170,SSM2223JWGRN00342,05/03/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#19+20/22,0,0,KGS,1600.0,100.0,160000.0,1415.0,2264000.0
178669,SSM2223JWGRN00276,20/01/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#04+05+06/22,,,KGS,2400.0,100.0,240000.0,940.606,2257454.346
211102,SSM2223JWGRN00362,25/02/2023,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",31000001,"1-(4-CHLOROPHENYL)-4,4 -DIMETHYL-2-(1H-1,2,4- TRIAZOL-1-YL) PENTANE-3-ONE",#16+17/22,,,KGS,100.0,100.0,10000.0,7002.271,700227.061
457654,SSM2425JWGRN00022,16/04/2024,SPENT SOLVENT,31000033,SPENT SOLVENT,343/24,0,0,KGS,11030.0,0.0,0.0,4.997,55121.359
457654,SSM2425JWGRN00022,16/04/2024,SPENT SOLVENT,31000033,SPENT SOLVENT,343/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0
458090,SSM2425JWGRN00026,20/04/2024,SPENT SOLVENT,31000033,SPENT SOLVENT,344/23,0,0,KGS,0.0,0.0,0.0,0.0,0.0
458090,SSM2425JWGRN00026,20/04/2024,SPENT SOLVENT,31000033,SPENT SOLVENT,344/23,0,0,KGS,553.0,0.0,0.0,6.022,3330.408
416457,SSM2324JWGRN00289,13/02/2024,"2,3 DI CHLORO PYRIDINE",26000006,"2,3,5 TRICHLORO PYRIDINE",#109/24,0,0,KGS,1991.0,0.0,0.0,26.681,53121.844
416494,SSM2324JWGRN00292,13/02/2024,"2,3 DI CHLORO PYRIDINE",26000006,"2,3,5 TRICHLORO PYRIDINE",#112/24,0,0,KGS,2074.0,0.0,0.0,25.351,52577.902
416509,SSM2324JWGRN00293,13/02/2024,"2,3 DI CHLORO PYRIDINE",26000006,"2,3,5 TRICHLORO PYRIDINE",#113/24,0,0,KGS,1716.0,0.0,0.0,28.339,48629.86
416524,SSM2324JWGRN00295,14/02/2024,"2,3 DI CHLORO PYRIDINE",26000006,"2,3,5 TRICHLORO PYRIDINE",#115/24,0,0,KGS,1852.0,0.0,0.0,27.034,50066.189
416479,SSM2324JWGRN00291,13/02/2024,"2,3 DI CHLORO PYRIDINE",26000006,"2,3,5 TRICHLORO PYRIDINE",#111/24,0,0,KGS,1557.0,0.0,0.0,24.346,37906.551
416451,SSM2324JWGRN00288,13/02/2024,"2,3 DI CHLORO PYRIDINE",26000006,"2,3,5 TRICHLORO PYRIDINE",#108/24,0,0,KGS,1710.0,0.0,0.0,27.142,46412.961
416516,SSM2324JWGRN00294,13/02/2024,"2,3 DI CHLORO PYRIDINE",26000006,"2,3,5 TRICHLORO PYRIDINE",#114/24,0,0,KGS,2420.0,0.0,0.0,19.314,46739.05
416438,SSM2324JWGRN00287,12/02/2024,"2,3 DI CHLORO PYRIDINE",26000006,"2,3,5 TRICHLORO PYRIDINE",#107/24,0,0,KGS,2029.0,0.0,0.0,24.331,49367.239
416470,SSM2324JWGRN00290,13/02/2024,"2,3 DI CHLORO PYRIDINE",26000006,"2,3,5 TRICHLORO PYRIDINE",#110/24,0,0,KGS,1919.0,0.0,0.0,24.575,47159.547
459657,SSM2425JWGRN00027,10/04/2024,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000086,4-FTMP RECOVERED TOLUENE,#338/23,0,0,KGS,2015.0,0.0,0.0,5.083,10242.708
459657,SSM2425JWGRN00027,10/04/2024,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000086,4-FTMP RECOVERED TOLUENE,#338/23,0,0,KGS,0.0,0.0,0.0,0.0,0.0
459669,SSM2425JWGRN00028,22/04/2024,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000086,4-FTMP RECOVERED TOLUENE,#289/23,0,0,KGS,875.0,0.0,0.0,5.122,4481.698
459669,SSM2425JWGRN00028,22/04/2024,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,26000086,4-FTMP RECOVERED TOLUENE,#289/23,0,0,KGS,0.0,0.0,0.0,0.0,0.0
330317,SSM2324JWGRN00199,21/09/2023,3-BROMO-1-(3-CHLOROPYRIDINE-2-YL)-1H-PYRAZOLE-5-CARBOXYLIC ACID,26000189,BCPA (STAGE-III) DRY POWDER,#04/23,0,0,KGS,143.0,10.0,1430.0,4661.705,666623.854
62132,SSM2223JWGRN00050,16/07/2022,3-BROMO-1-(3-CHLOROPYRIDINE-2-YL)-1H-PYRAZOLE-5-CARBOXYLIC ACID,26000189,BCPA (STAGE-III) DRY POWDER,#007/22,,,KGS,152.0,10.0,1520.0,10824.289,1645291.852
45492,SSM2223JWGRN00041,18/06/2022,3-BROMO-1-(3-CHLOROPYRIDINE-2-YL)-1H-PYRAZOLE-5-CARBOXYLIC ACID,26000189,BCPA (STAGE-III) DRY POWDER,#006/22,,,KGS,102.0,10.0,1020.0,7524.58,767507.204
329578,SSM2324JWGRN00197,19/09/2023,3-BROMO-1-(3-CHLOROPYRIDINE-2-YL)-1H-PYRAZOLE-5-CARBOXYLIC ACID,26000189,BCPA (STAGE-III) DRY POWDER,#01+02/23,0,0,KGS,252.5,10.0,2525.0,4606.539,1163151.145
329598,SSM2324JWGRN00198,20/09/2023,3-BROMO-1-(3-CHLOROPYRIDINE-2-YL)-1H-PYRAZOLE-5-CARBOXYLIC ACID,26000189,BCPA (STAGE-III) DRY POWDER,#03/23,0,0,KGS,136.0,10.0,1360.0,5904.044,802950.016
50607,SSM2223JWGRN00043,25/06/2022,METHYL-2-CHLORO PROPIONATE,31000026,METHYL-2-CHLORO PROPIONATE,BLD#090622,,,KGS,2650.0,66.25,175562.5,227.388,602579.42
29447,SSM2223JWGRN00028,04/05/2022,N-METHYL-2-OXO-2-PHENYLACETAMIDE,31000028,N-METHYL-2-OXO-2-PHENYLACETAMIDE,#001to#004/22,,,KGS,7200.0,150.0,1080000.0,2494.421,17959832.689
29466,SSM2223JWGRN00031,07/05/2022,N-METHYL-2-OXO-2-PHENYLACETAMIDE,31000028,N-METHYL-2-OXO-2-PHENYLACETAMIDE,#009(P-II),,,KGS,950.0,150.0,142500.0,3169.757,3011269.139
29481,SSM2223JWGRN00032,09/05/2022,N-METHYL-2-OXO-2-PHENYLACETAMIDE,31000028,N-METHYL-2-OXO-2-PHENYLACETAMIDE,#010/22,,,KGS,2024.0,150.0,303600.0,1174.917,2378032.38
29454,SSM2223JWGRN00029,04/05/2022,N-METHYL-2-OXO-2-PHENYLACETAMIDE,31000028,N-METHYL-2-OXO-2-PHENYLACETAMIDE,#05 To#07/22,,,KGS,5414.0,150.0,812100.0,2082.865,11276633.8
39639,SSM2223JWGRN00038,04/06/2022,N-METHYL-2-OXO-2-PHENYLACETAMIDE,31000028,N-METHYL-2-OXO-2-PHENYLACETAMIDE,#BLD,,,KGS,973.0,150.0,145950.0,1701.148,1655216.949
25614,SSM2223JWGRN00016,06/05/2022,N-METHYL-2-OXO-2-PHENYLACETAMIDE,31000028,N-METHYL-2-OXO-2-PHENYLACETAMIDE,#009/22(P-I),,,KGS,950.0,150.0,142500.0,3076.301,2922485.64
29458,SSM2223JWGRN00030,05/05/2022,N-METHYL-2-OXO-2-PHENYLACETAMIDE,31000028,N-METHYL-2-OXO-2-PHENYLACETAMIDE,#008/22,,,KGS,1880.0,150.0,282000.0,2277.053,4280859.231
306745,SSM2324JWGRN00160,31/07/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",#26 TO 29/23,0,0,KGS,1267.0,50.0,63350.0,573.592,726741.639
230723,SSM2324JWGRN00007,08/04/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",#01+02+04/24,0,0,KGS,1560.0,50.0,78000.0,520.134,811408.681
222971,SSM2223JWGRN00389,15/03/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",#01(RP)+08/23,0,0,KGS,895.0,50.0,44750.0,1142.154,1022228.209
223019,SSM2223JWGRN00390,11/03/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",#06/23,0,0,KGS,376.0,50.0,18800.0,419.196,157617.527
223071,SSM2223JWGRN00393,20/03/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",#11+12/23,0,0,KGS,527.0,50.0,26350.0,927.497,488790.941
233968,SSM2324JWGRN00014,14/04/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",#05+06+07+08/24,0,0,KGS,1754.0,50.0,87700.0,438.216,768631.075
266670,SSM2324JWGRN00085,31/05/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",24-SPIR0000010,0,0,KGS,0.0,50.0,0.0,0.0,0.0
256826,SSM2324JWGRN00062,17/05/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",24-SPIR0000005,0,0,KGS,0.0,50.0,0.0,0.0,0.0
259075,SSM2324JWGRN00068,20/05/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",24-SPIR0000006,0,0,KGS,0.0,50.0,0.0,0.0,0.0
291072,SSM2324JWGRN00124,29/06/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",#17+18+19/23,0,0,KGS,0.0,50.0,0.0,0.0,0.0
264466,SSM2324JWGRN00080,28/05/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",24-SPIR0000008+09,0,0,KGS,0.0,50.0,0.0,0.0,0.0
191849,SSM2223JWGRN00317,10/02/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",#23-SPIR0000010,,,KGS,0.0,50.0,0.0,0.0,0.0
222402,SSM2223JWGRN00388,07/03/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",#0030,0,0,KGS,0.0,50.0,0.0,0.0,0.0
240070,SSM2324JWGRN00031,22/04/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",#12+13/24,0,0,KGS,882.0,50.0,44100.0,296.224,261269.373
256016,SSM2324JWGRN00059,12/05/2023,"2,3 DI CHLORO PYRIDINE",26000008,"2,3 DCP CRUDE",#14 TO 21/23,0,0,KGS,2232.0,50.0,111600.0,543.577,1213264.56
210804,SSM2223JWGRN00358,27/02/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#255/22,,,KGS,3895.0,11.0,42845.0,18.091,70465.0
227266,SSM2324JWGRN00003,02/04/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#04/23,0,0,KGS,6180.0,11.0,67980.0,18.202,112490.0
219277,SSM2223JWGRN00380,11/03/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#266/22,0,0,KGS,6200.0,11.0,68200.0,19.491,120845.0
290423,SSM2324JWGRN00122,29/06/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#88/23,0,0,KGS,3150.0,11.0,34650.0,18.967,59745.0
293967,SSM2324JWGRN00135,04/07/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#95/23,0,0,KGS,435.0,11.0,4785.0,19.034,8280.0
279559,SSM2324JWGRN00105,15/06/2023,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#70/23,0,0,KGS,685.0,11.0,7535.0,18.715,12820.0
116681,SSM2223JWGRN00099,02/10/2022,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,#AAL/295/22-23,,,KGS,6260.0,13.5,84510.0,22.686,142014.127
148650,SSM2223JWGRN00158,19/11/2022,DIMETHYL-2-METHYL GLUTARATE,26000196,MGDM DISTILLED METHANOL,AAL/360/22-23,,,KGS,2310.0,13.5,31185.0,24.208,55920.0
