,Id,lid,Output_Voucher_No,Output_Voucher_Date,Output_Item_Code,FG_Name,Output_Item_Name,Output_Batch_No,Output_Purity,Output_Recovery,Output_UOM,Output_Quantity,JobWork_Rate,JobWork_Value,Output_Rate,Output_Value,Consume_lid,Consume_Voucher_No,Consume_Voucher_Date,Consume_Item_Code,Consume_Item_Name,Consume_Batch_No,Consume_UOM,Consume_Quantity,Consume_Rate,Consume_Value
0,1,6733,SSM2223JWGRN00001,13/04/2022,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,03-Apr-2022,,,KGS,1400.0,161.0,225400.0,2560.11,3584156.0,,,,,,,,,,
1,2,5912,,,,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,,,,,,,,,,,6733.0,SSM2223JWGRN00001,2022-04-13,26000086,4-FTMP RECOVERED TOLUENE,,KGS,200.0,11.83,1000.0
2,3,226734,SSM2324JWGRN00001,01/04/2023,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#119+120/23,0,0,KGS,995.0,180.81,179905.95,1912.85,1903290.59,,,,,,,,,,
3,4,6735,SSM2223JWGRN00002,13/04/2022,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,05-Apr-2022,,,KGS,1359.0,161.0,218799.0,2632.49,3577555.0,,,,,,,,,,
4,5,5912,,,,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,,,,,,,,,,,6735.0,SSM2223JWGRN00002,2022-04-13,26000086,4-FTMP RECOVERED TOLUENE,,KGS,200.0,11.83,1000.0
5,6,227254,SSM2324JWGRN00002,03/04/2023,26000204,DIMETHYL-2-METHYL GLUTARATE,MGN PURE,#006/23,0,0,KGS,4990.0,16.0,79840.0,200.0,997986.72,,,,,,,,,,
6,7,446275,SSM2425JWGRN00002,03/04/2024,26000029,"2,4 DICHLORO BENZOYL CHLORIDE","2,4 DCBC CRUDE",#30/24,0,0,KGS,6935.0,0.0,0.0,113.13,784578.28,,,,,,,,,,
7,8,6810,SSM2223JWGRN00003,14/04/2022,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,08-Apr-2022,,,KGS,1289.0,161.0,207529.0,2766.71,3566285.0,,,,,,,,,,
8,9,5912,,,,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,,,,,,,,,,,6810.0,SSM2223JWGRN00003,2022-04-14,26000086,4-FTMP RECOVERED TOLUENE,,KGS,73.0,32.4,365.0
9,10,5912,,,,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,,,,,,,,,,,6810.0,SSM2223JWGRN00003,2022-04-14,26000086,4-FTMP RECOVERED TOLUENE,,KGS,127.0,23.62,635.0
10,11,227266,SSM2324JWGRN00003,02/04/2023,26000196,DIMETHYL-2-METHYL GLUTARATE,MGDM DISTILLED METHANOL,#04/23,0,0,KGS,6180.0,11.0,67980.0,18.2,112490.0,,,,,,,,,,
11,12,219605,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227266.0,SSM2324JWGRN00003,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM3010065,KGS,2954.0,7.27,14770.0
12,13,220104,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227266.0,SSM2324JWGRN00003,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM3010065,KGS,907.0,5.0,4535.0
13,14,220104,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227266.0,SSM2324JWGRN00003,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM4020063,KGS,256.0,5.0,1280.0
14,15,220104,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227266.0,SSM2324JWGRN00003,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM4040035,KGS,458.0,5.0,2290.0
15,16,220104,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227266.0,SSM2324JWGRN00003,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM4040036,KGS,100.0,5.0,500.0
16,17,220104,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227266.0,SSM2324JWGRN00003,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM4020065,KGS,411.0,5.0,2055.0
17,18,220104,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227266.0,SSM2324JWGRN00003,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM3010066,KGS,3816.0,5.36,19080.0
18,19,446871,SSM2425JWGRN00003,06/04/2024,26000046,"2,6 DICHLORO BENZOYL CHLORIDE","2,6 DCBC CRUDE",#07/24,0,0,KGS,7375.0,0.0,0.0,472.72,3486285.0,,,,,,,,,,
19,20,446871,SSM2425JWGRN00003,06/04/2024,26000046,"2,6 DICHLORO BENZOYL CHLORIDE","2,6 DCBC CRUDE",#07/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
20,21,6816,SSM2223JWGRN00004,14/04/2022,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,09-Apr-2022,,,KGS,604.0,161.0,97244.0,2960.31,1788026.0,,,,,,,,,,
21,22,5912,,,,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,,,,,,,,,,,6816.0,SSM2223JWGRN00004,2022-04-14,26000086,4-FTMP RECOVERED TOLUENE,,KGS,100.0,30.0,500.0
22,23,227269,SSM2324JWGRN00004,02/04/2023,26000196,DIMETHYL-2-METHYL GLUTARATE,MGDM DISTILLED METHANOL,#05/23,0,0,KGS,4090.0,11.0,44990.0,18.2,74450.0,,,,,,,,,,
23,24,220104,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227269.0,SSM2324JWGRN00004,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM3010066,KGS,277.0,73.88,1385.0
24,25,222552,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227269.0,SSM2324JWGRN00004,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM4040033,KGS,200.0,5.0,1000.0
25,26,222552,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227269.0,SSM2324JWGRN00004,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM3010067	,KGS,5000.0,5.0,25000.0
26,27,223912,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227269.0,SSM2324JWGRN00004,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM3010038,KGS,230.0,5.0,1150.0
27,28,223912,,,,DIMETHYL-2-METHYL GLUTARATE,,,,,,,,,,,227269.0,SSM2324JWGRN00004,2023-04-02,26000157,MGDM RECOVERED METHANOL,23CMGDM3010068,KGS,185.0,135.14,925.0
28,29,446898,SSM2425JWGRN00004,06/04/2024,26000046,"2,6 DICHLORO BENZOYL CHLORIDE","2,6 DCBC CRUDE",#01/24,0,0,KGS,7305.0,0.0,0.0,477.25,3486285.0,,,,,,,,,,
29,30,446898,SSM2425JWGRN00004,06/04/2024,26000046,"2,6 DICHLORO BENZOYL CHLORIDE","2,6 DCBC CRUDE",#01/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
30,31,7680,SSM2223JWGRN00005,16/04/2022,28000026,3-BROMO-1-(3-CHLOROPYRIDINE-2-YL)-1H-PYRAZOLE-5-CARBOXYLIC ACID,BCPA SFG,13-Apr-2022,,,KGS,77.0,10.0,770.0,13012.84,1001988.57,,,,,,,,,,
31,32,7580,,,,3-BROMO-1-(3-CHLOROPYRIDINE-2-YL)-1H-PYRAZOLE-5-CARBOXYLIC ACID,,,,,,,,,,,7680.0,SSM2223JWGRN00005,2022-04-16,26000190,BCPA (WET POWDER),,KGS,99.0,10113.32,1001218.57
32,33,228182,SSM2324JWGRN00005,03/04/2023,26000213,2-CHLORO BENZALDEHYD,2-CHLORO BENZAL CHLORIDE CRUDE,#004/23,0,0,KGS,4195.0,25.0,104875.0,139.08,583425.07,,,,,,,,,,
33,34,447481,SSM2425JWGRN00005,06/04/2024,26000029,"2,4 DICHLORO BENZOYL CHLORIDE","2,4 DCBC CRUDE",#31/24,0,0,KGS,7037.0,0.0,0.0,110.89,780302.9,,,,,,,,,,
34,35,438808,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,447481.0,SSM2425JWGRN00005,2024-04-06,26000028,"RECOVERED 2,4 DCT",24CDCBL1020003,KGS,1699.0,251.22,227680.02
35,36,441532,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,447481.0,SSM2425JWGRN00005,2024-04-06,26000028,"RECOVERED 2,4 DCT",24CDCBL1020004,KGS,2051.0,214.98,227793.57
36,37,13567,SSM2223JWGRN00006,22/04/2022,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#005/22,,,KGS,736.0,161.0,118496.0,2442.76,1797874.0,,,,,,,,,,
37,38,5912,,,,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,,,,,,,,,,,13567.0,SSM2223JWGRN00006,2022-04-22,26000086,4-FTMP RECOVERED TOLUENE,,KGS,100.0,30.0,500.0
38,39,229446,SSM2324JWGRN00006,03/04/2023,26000008,"2,3 DI CHLORO PYRIDINE","2,3 DCP CRUDE",#22+23/23,0,0,KGS,920.0,50.0,46000.0,264.08,242956.59,,,,,,,,,,
39,40,217207,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,229446.0,SSM2324JWGRN00006,2023-04-03,26000009,"2,3 DCP IIND CROP",23DDCPY1110059,KGS,740.0,17.16,4945.31
40,41,217207,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,229446.0,SSM2324JWGRN00006,2023-04-03,26000009,"2,3 DCP IIND CROP",23DDCPY1110061,KGS,2040.0,8.14,9681.4
41,42,447500,SSM2425JWGRN00006,07/04/2024,26000029,"2,4 DICHLORO BENZOYL CHLORIDE","2,4 DCBC CRUDE",#01/24,0,0,KGS,6855.0,0.0,0.0,111.95,767414.52,,,,,,,,,,
42,43,441532,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,447500.0,SSM2425JWGRN00006,2024-04-07,26000028,"RECOVERED 2,4 DCT",24CDCBL1020004,KGS,1919.0,229.77,213133.04
43,44,443186,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,447500.0,SSM2425JWGRN00006,2024-04-07,26000028,"RECOVERED 2,4 DCT",24BDCBL1020019,KGS,337.0,118.88,40061.16
44,45,443186,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,447500.0,SSM2425JWGRN00006,2024-04-07,26000028,"RECOVERED 2,4 DCT",24BDCBL1040001,KGS,438.0,150.86,66074.5
45,46,443186,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,447500.0,SSM2425JWGRN00006,2024-04-07,26000028,"RECOVERED 2,4 DCT",24BDCBL1020020,KGS,2162.0,133.18,287938.03
46,47,443186,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,447500.0,SSM2425JWGRN00006,2024-04-07,26000028,"RECOVERED 2,4 DCT",24EDCBL1040007,KGS,600.0,77.84,46705.19
47,48,443186,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,447500.0,SSM2425JWGRN00006,2024-04-07,26000028,"RECOVERED 2,4 DCT",24BDCBL1020021,KGS,544.0,382.42,64522.67
48,49,15859,SSM2223JWGRN00007,26/04/2022,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#006+007/22,,,KGS,1480.0,161.0,238280.0,2420.3,3582045.33,,,,,,,,,,
49,50,5912,,,,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,,,,,,,,,,,15859.0,SSM2223JWGRN00007,2022-04-26,26000086,4-FTMP RECOVERED TOLUENE,,KGS,200.0,15.0,1000.0
